ts,ms_played,track,artist,album,uri,UniqueID,track_uri
2015-01-02T22:06:23Z,323515,Burnin,Calvin Harris,Motion,spotify:track:5lByoyTJti3jYo22bLQKOH,Calvin Harris:Burnin,5lByoyTJti3jYo22bLQKOH
2015-01-02T22:11:46Z,469341,Outside (feat. Ellie Goulding),Calvin Harris,Motion,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,Calvin Harris:Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb
2015-03-20T23:46:24Z,131123,One Last Time,Ariana Grande,My Everything,spotify:track:1CAksvEO6oRHd9bBKWAfuY,Ariana Grande:One Last Time,1CAksvEO6oRHd9bBKWAfuY
2015-03-20T23:46:46Z,21470,Be My Baby,Ariana Grande,My Everything,spotify:track:2gijedBBM7NHH0tKO4DEUN,Ariana Grande:Be My Baby,2gijedBBM7NHH0tKO4DEUN
2015-03-20T23:46:55Z,7507,Best Mistake,Ariana Grande,My Everything,spotify:track:6ARSouo2qnKWkIZSlkudiD,Ariana Grande:Best Mistake,6ARSouo2qnKWkIZSlkudiD
2015-03-20T23:48:22Z,86844,One Last Time,Ariana Grande,My Everything,spotify:track:1CAksvEO6oRHd9bBKWAfuY,Ariana Grande:One Last Time,1CAksvEO6oRHd9bBKWAfuY
2015-03-20T23:49:01Z,38180,Sugar,Maroon 5,V,spotify:track:5eWgDlp3k6Tb5RD8690s6I,Maroon 5:Sugar,5eWgDlp3k6Tb5RD8690s6I
2015-03-20T23:51:41Z,92191,All of Me,John Legend,Love In The Future (Expanded Edition),spotify:track:3U4isOIWM3VvDubwSI3y7a,John Legend:All of Me,3U4isOIWM3VvDubwSI3y7a
2015-03-20T23:54:51Z,0,FourFiveSeconds,Rihanna,FourFiveSeconds,spotify:track:78TTtXnFQPzwqlbtbwqN0y,Rihanna:FourFiveSeconds,78TTtXnFQPzwqlbtbwqN0y
2015-03-20T23:55:19Z,24074,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Fifty Shades Of Grey,spotify:track:1ip2IGDWMrUmlaepEbWlL8,"Ellie Goulding:Love Me Like You Do - From ""Fifty Shades Of Grey""",1ip2IGDWMrUmlaepEbWlL8
